inter_id,source,target,interaction,tissue_dataset,Tau_source,Tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
4755,CXCL12,CCR1,2676.0,GTEx,0.383,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0212924989497672,2.858372425189136,2.919668907427193,no
4756,CCL19,CCR1,901.0,GTEx,0.621,0.708,0.708,frequency,genecalls,autopsy,1.0,6546.0,MWU_ratio,0.003918878623477,0.0232464936186065,2.7718201401414944,2.6251406526090366,no
4757,CCL21,CCR1,971.0,GTEx,0.616,0.708,0.708,frequency,genecalls,autopsy,1.0,6463.0,MWU_ratio,0.0046539170595605,0.0252550638846003,2.8709514570484758,2.8709514570484744,no
4778,CXCL2,CCR1,2777.0,GTEx,0.637,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0212924989497672,2.858372425189136,2.919668907427193,no
4744,CCL2,CCR1,924.0,GTEx,0.477,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0212924989497672,2.858372425189136,2.919668907427193,yes
4784,CX3CL1,CCR1,2578.0,GTEx,0.365,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0212924989497672,2.858372425189136,2.919668907427193,no
4763,CCL3,CCR1,1138.0,GTEx,0.816,0.708,0.816,frequency,genecalls,autopsy,1.0,4397.0,MWU_ratio,0.0004060651529455,0.0047505863032096,1.9964308002122155,1.877931333243085,yes
4763,CCL3,CCR1,1138.0,GTEx,0.816,0.708,0.816,frequency,genecalls,hcmdb_ctype_2l,1.0,1704.0,MWU_ratio,0.0007005311430636,0.0217861539781624,1.829140462649694,2.0326887902643977,yes
4830,ANXA1,CCR10,315.0,GTEx,0.545,0.564,0.564,frequency,genecalls,autopsy,-1.0,-4781.0,MWU_ratio,0.002460013861103,0.0162168392008885,2.939676515035048,2.992268322875841,no
4830,ANXA1,CCR10,315.0,GTEx,0.545,0.564,0.564,frequency,genecalls,hcmdb_ctype_2l,-1.0,-2199.0,MWU_ratio,7.033363614261805e-05,0.0035776376251211,2.765879950468627,2.635897708058781,no
4809,CCL3,CCR10,1139.0,GTEx,0.816,0.564,0.816,frequency,genecalls,autopsy,1.0,6634.0,MWU_ratio,0.00016600188998,0.0026605926594891,2.50745470016707,2.281877892856869,no
4809,CCL3,CCR10,1139.0,GTEx,0.816,0.564,0.816,frequency,genecalls,hcmdb_ctype_2l,1.0,2692.0,MWU_ratio,2.23372608484261e-05,0.0029385051771291,2.496749114807776,1.976675962207065,no
1783,CXCL8,SDC1,2894.0,GTEx,0.75,0.684,0.75,frequency,genecalls,hcmdb_ctype_2l,1.0,2566.0,MWU_ratio,0.000630186190103,0.0201184963618656,2.545073661027154,2.3208093361144986,yes
1791,MMP7,SDC1,6250.0,GTEx,0.847,0.684,0.847,frequency,genecalls,hcmdb_ctype_2l,1.0,2274.0,MWU_ratio,0.0015328405391949,0.0343561277739367,2.5345904917193502,2.1439522006438687,yes
2677,IL1B,MMP9,5044.0,GTEx,0.806,0.868,0.868,frequency,genecalls,autopsy,1.0,3438.0,MWU_ratio,0.0038217763691756,0.0227416692737207,1.8596431949245416,1.9171593996511875,no
3458,CCL5,CD4,1189.0,GTEx,0.678,0.549,0.678,frequency,genecalls,autopsy,1.0,3646.0,MWU_ratio,0.0004840623773408,0.0051468118970835,2.995245535418584,2.995667834575088,no
3459,CD40LG,CD4,1417.0,GTEx,0.836,0.549,0.836,frequency,genecalls,autopsy,1.0,5825.0,MWU_ratio,0.0025469357852276,0.0164047338295342,2.66076961187075,2.398198024674663,no
3468,PTPRC,CD4,7298.0,GTEx,0.691,0.549,0.691,frequency,genecalls,autopsy,1.0,3682.0,MWU_ratio,0.0074196938546,0.03528776606758,2.988596843284672,2.992585780104493,yes
3466,IL12RB1,CD4,4938.0,GTEx,0.804,0.549,0.804,frequency,genecalls,autopsy,1.0,5825.0,MWU_ratio,0.0025469357852276,0.0164047338295342,2.66076961187075,2.398198024674663,no
3492,SIGLEC7,CD4,7905.0,GTEx,0.82,0.549,0.82,frequency,genecalls,autopsy,1.0,8448.0,MWU_ratio,0.000234009139926,0.0033472137543,2.8737313773493938,2.8314073704463407,yes
6976,HP,TLR4,4610.0,GTEx,0.886,0.462,0.886,frequency,genecalls,autopsy,1.0,9751.0,MWU_ratio,1.9758333579929128e-05,0.0005026440498974,2.783869054801825,2.7921989193312333,yes
6989,PRG4,TLR4,7106.0,GTEx,0.799,0.462,0.799,frequency,genecalls,autopsy,1.0,8880.0,MWU_ratio,1.0856130345071253e-05,0.0003189935044418,2.553327858076034,2.6338717630292714,yes
6989,PRG4,TLR4,7106.0,GTEx,0.799,0.462,0.799,frequency,genecalls,hcmdb_ctype_2l,1.0,3330.0,MWU_ratio,5.151254787055898e-06,0.0021078966363269,2.6194272898219686,2.3220458003027926,yes
8237,CXCL11,ACKR3,2650.0,GTEx,0.831,0.384,0.831,frequency,genecalls,autopsy,1.0,10202.0,MWU_ratio,1.5542309932401132e-07,1.1552488143224991e-05,2.637397393650456,2.45013919525338,yes
6430,CD40LG,ITGB1,1430.0,GTEx,0.836,0.381,0.836,frequency,genecalls,autopsy,1.0,5551.0,MWU_ratio,0.0043149398911943,0.0238075395306724,2.637397393650456,2.45013919525338,yes
1279,PCDHA10,ITGB1,6712.0,GTEx,0.801,0.381,0.801,frequency,genecalls,autopsy,-1.0,-6539.0,MWU_ratio,0.0002780719007504,0.0037244930734784,2.425699268676888,2.5119402604231387,yes
6429,CD40LG,ITGA5,1428.0,GTEx,0.836,0.501,0.836,frequency,genecalls,autopsy,1.0,5264.0,MWU_ratio,0.0063907950225289,0.0318713336347518,2.66076961187075,2.398198024674663,yes
