inter_id,source,target,interaction,tissue_dataset,tau_source,tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
5084,CXCL12,CCR1,2789.0,gtex,0.383,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5085,CCL19,CCR1,924.0,gtex,0.621,0.708,0.708,frequency,genecalls,autopsy,1.0,6546.0,MWU_ratio,0.003918878623477,0.0229235232647932,2.7718201401414944,2.6251406526090366,no
5086,CCL21,CCR1,996.0,gtex,0.616,0.708,0.708,frequency,genecalls,autopsy,1.0,6463.0,MWU_ratio,0.0046539170595605,0.0249858779150713,2.8709514570484758,2.8709514570484744,no
5105,CXCL2,CCR1,2890.0,gtex,0.637,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5073,CCL2,CCR1,948.0,gtex,0.477,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,yes
5111,CX3CL1,CCR1,2691.0,gtex,0.365,0.708,0.708,frequency,genecalls,autopsy,1.0,6633.0,MWU_ratio,0.0035192588291859,0.0210128403518365,2.858372425189136,2.919668907427193,no
5091,CCL3,CCR1,1170.0,gtex,0.816,0.708,0.816,frequency,genecalls,autopsy,1.0,4397.0,MWU_ratio,0.0004060651529455,0.0046491170824717,1.9964308002122155,1.877931333243085,yes
5091,CCL3,CCR1,1170.0,gtex,0.816,0.708,0.816,frequency,genecalls,hcmdb,1.0,1704.0,MWU_ratio,0.0007005311430636,0.0214057620479339,1.829140462649694,2.0326887902643977,yes
5128,ANXA1,CCR10,321.0,gtex,0.545,0.564,0.564,frequency,genecalls,autopsy,-1.0,-4781.0,MWU_ratio,0.002460013861103,0.0160034709257026,2.939676515035048,2.992268322875841,no
5128,ANXA1,CCR10,321.0,gtex,0.545,0.564,0.564,frequency,genecalls,hcmdb,-1.0,-2199.0,MWU_ratio,7.033363614261805e-05,0.0035538905694773,2.765879950468627,2.635897708058781,no
5138,CCL3,CCR10,1171.0,gtex,0.816,0.564,0.816,frequency,genecalls,autopsy,1.0,6634.0,MWU_ratio,0.00016600188998,0.0026018118804526,2.50745470016707,2.281877892856869,no
5138,CCL3,CCR10,1171.0,gtex,0.816,0.564,0.816,frequency,genecalls,hcmdb,1.0,2692.0,MWU_ratio,2.23372608484261e-05,0.0030163004649116,2.496749114807776,1.976675962207065,no
1803,CXCL8,SDC1,3007.0,gtex,0.75,0.684,0.75,frequency,genecalls,hcmdb,1.0,2566.0,MWU_ratio,0.000630186190103,0.019821760003561,2.545073661027154,2.3208093361144986,yes
1808,MMP7,SDC1,6451.0,gtex,0.847,0.684,0.847,frequency,genecalls,hcmdb,1.0,2274.0,MWU_ratio,0.0015328405391949,0.0336880116435629,2.5345904917193502,2.1439522006438687,yes
2545,IL1B,MMP9,5193.0,gtex,0.806,0.868,0.868,frequency,genecalls,autopsy,1.0,3438.0,MWU_ratio,0.0038217763691756,0.0224399467477123,1.8596431949245416,1.9171593996511875,no
3454,CCL5,CD4,1261.0,gtex,0.678,0.549,0.678,frequency,genecalls,autopsy,1.0,3646.0,MWU_ratio,0.0004840623773408,0.0050443712083745,2.995245535418584,2.995667834575088,no
3458,CD40LG,CD4,1490.0,gtex,0.836,0.549,0.836,frequency,genecalls,autopsy,1.0,5825.0,MWU_ratio,0.0025469357852276,0.0162049111933622,2.66076961187075,2.398198024674663,no
3461,PTPRC,CD4,7515.0,gtex,0.691,0.549,0.691,frequency,genecalls,autopsy,1.0,3682.0,MWU_ratio,0.0074196938546,0.0348523867224534,2.988596843284672,2.992585780104493,yes
3464,IL12RB1,CD4,5079.0,gtex,0.804,0.549,0.804,frequency,genecalls,autopsy,1.0,5825.0,MWU_ratio,0.0025469357852276,0.0162049111933622,2.66076961187075,2.398198024674663,no
3488,SIGLEC7,CD4,8128.0,gtex,0.82,0.549,0.82,frequency,genecalls,autopsy,1.0,8448.0,MWU_ratio,0.000234009139926,0.0032778145113238,2.8737313773493938,2.8314073704463407,yes
5062,CCL3,ACKR2,1169.0,gtex,0.816,0.722,0.816,frequency,genecalls,hcmdb,1.0,1888.0,MWU_ratio,8.700502570666452e-05,0.0043128060843961,2.051154498733526,1.616591742190463,yes
